State,E-Government Development,Online Service Index,Telecommunications Infrastructure Index,Human Capital Index
Denmark,0.915,1,0.7978,0.9472
Australia,0.9053,0.9722,0.7436,1
Republic of Korea,0.901,0.9792,0.8496,0.8743
United Kingdom,0.8999,0.9792,0.8004,0.92
Sweden,0.8882,0.9444,0.7835,0.9366
Finland,0.8815,0.9653,0.7284,0.9509
Singapore,0.8812,0.9861,0.8019,0.8557
New Zealand,0.8806,0.9514,0.7455,0.945
France,0.879,0.9792,0.7979,0.8598
Japan,0.8783,0.9514,0.8406,0.8428
United States of America,0.8769,0.9861,0.7564,0.8883
Germany,0.8765,0.9306,0.7952,0.9036
Netherlands,0.8757,0.9306,0.7758,0.9206
Norway,0.8557,0.9514,0.7131,0.9025
Switzterland,0.852,0.8472,0.8428,0.866
Estonia,0.8486,0.9028,0.7613,0.8818
Spain,0.8415,0.9375,0.6986,0.8885
Luxembourg,0.8334,0.9236,0.7964,0.7803
Iceland,0.8316,0.7292,0.8292,0.9365
Austria,0.8301,0.8681,0.7716,0.8505
United Arab Emirates,0.8295,0.9444,0.8564,0.6877
Ireland,0.8287,0.8264,0.697,0.9626
Canada,0.8258,0.9306,0.6724,0.8744
Italy,0.8209,0.9514,0.6771,0.8341
Liechtenstein,0.8204,0.7986,0.8389,0.8237
Bahrain,0.8116,0.7986,0.8466,0.7897
Belgium,0.808,0.7569,0.693,0.974
Monaco,0.805,0.625,1,0.7901
Portugal,0.8031,0.9306,0.6617,0.817
Malta,0.8011,0.8403,0.7657,0.7973
Israel,0.7998,0.8264,0.7095,0.8635
Russian Federation,0.7969,0.9167,0.6219,0.8522
Poland,0.7926,0.9306,0.5805,0.8668
Uruguay,0.7858,0.8889,0.6967,0.7719
Greece,0.7833,0.8194,0.6439,0.8867
Cyprus,0.7736,0.7847,0.7279,0.8083
Slovenia,0.7714,0.7986,0.6232,0.8923
Belarus,0.7641,0.7361,0.6881,0.8681
Kazakhistan,0.7597,0.8681,0.5723,0.8388
Lithuania,0.7534,0.7986,0.6293,0.8323
Kuwait,0.7388,0.7917,0.7394,0.6852
Chile,0.735,0.8333,0.5377,0.8339
Argentina,0.7335,0.75,0.5927,0.8579
Brazil,0.7327,0.9236,0.522,0.7525
Hungary,0.7265,0.7361,0.6071,0.8364
Barbados,0.7229,0.6667,0.6719,0.8301
Bulgaria,0.7177,0.7639,0.5785,0.8106
Malaysia,0.7174,0.8889,0.5647,0.6987
Serbia,0.7155,0.7361,0.6208,0.7896
Slovakia,0.7155,0.7361,0.5964,0.8141
