date,value
01/01/1991,0.04
01/01/1992,0.07
01/01/1993,0.18
01/01/1994,0.32
01/01/1995,2.08
01/01/1996,3.90
01/01/1997,4.74
01/01/1998,8.40
01/01/1999,10.97
01/01/2000,13.54
01/01/2001,15.50
01/01/2002,17.81
01/01/2003,19.99
01/01/2004,22.95
01/01/2005,25.46
01/01/2006,28.78
01/01/2007,33.22
01/01/2008,37.58
01/01/2009,46.46
01/01/2010,51.56
01/01/2010,57.18
01/01/2011,61.01
01/01/2012,65.75
01/01/2013,70.10
01/01/2014,74.07
01/01/2015,76.22
01/01/2016,76.66
01/01/2017,77.03
01/01/2018,77.26
01/01/2019,77.26
